BVG	CCG	ELG	GGG	LDG	NBG	NRG
	ETV4		NBPF1		MAPK8IP1	
	ETV5		NCOR1		MAST2	
	ETV6		NF1		MATK	
	EVI1		NFE2L2		MAX	
	EWSR1		NOTCH1		MDC1	
	EXT1		NPM1		MECOM	
	EXT2		NRAS		MED12	
	EZH2		NSD1		MED13	
	EZR		NTN4		MED17	
	FACL6		NUP210L		MEF2A	
	FAM22A		ODAM		METTL14	
	FAM22B		OMA1		MLL	
	FAM46C		OR4A16		MLL2	
	FANCA		OR52N1		MLL3	
	FANCC		OTUD7A		MLLT10	
	FANCD2		PAPD5		MLLT3	
	FANCE		PBRM1		MLLT4	
	FANCF		PCBP1		MMP2	
	FANCG		PDAP1		MN1	
	FBXO11		PDCD2L		MSN	
	FBXW7		PDSS2		MST1	
	FCGR2B		PHF6		MTOR	
	FEV		PIK3CA		MYB	
	FGFR1		PIK3R1		MYH9	
	FGFR1OP		PLCG2		NAV3	
	FGFR2		POLE		NBPF10	
	FGFR3		POU2AF1		NCOA3	
	FH		POU2F2		NCOA4	
	FHIT		PPM1D		NCOR1	
	FIP1L1		PPP2R1A		NCOR2	
	FLI1		PPP6C		NEB	
	FLJ27352		PRDM1		NEDD4L	
	FLT3		PTEN		NF1	
	FNBP1		PTPN11		NFE2L2	
	FOXA1		QKI		NIN	
	FOXL2		RAB40A		NLRP3	
	FOXO1A		RAC1		NONO	
	FOXO3A		RAD21		NOTCH1	
	FOXP1		RASA1		NPM1	
	FSTL3		RB1		NR1H2	
	FUBP1		RBM10		NR4A2	
	FUS		RHEB		NRAS	
	FVT1		RHOA		NSD1	
	GAS7		RIT1		NUMA1	
	GATA1		RPL5		NUP214	
	GATA2		RPS15		NUP93	
	GATA3		RPS2		NUP98	
	GMPS		RSBN1L		PABPC1	
	GNA11		RUNX1		PBRM1	
	GNAQ		RXRA		PCBP1	
	GNAS		SACS		PCM1	
	GOLGA5		SELP		PDGFRA	
	GOPC		12-Sep		PHF6	
	GPC3		SERPINB13		PHLDA1	
	GPHN		SETD2		PIK3CA	
	GRAF		SETDB1		PIK3CB	
	H3F3A		SF3B1		PIK3CG	
	H3F3B		SFRS2		PIK3R1	
	HCMOGT-1		SGK1		PIP5K1A	
	HEAB		SIRT4		PLCG1	
	HERPUD1		SLC1A3		PLEC	
	HEY1		SLC26A3		POTEF	
	HIP1		SLC44A3		PPP2R1A	
	HIST1H3B		SLC4A5		PRKAR1A	
	HIST1H4I		SMAD2		PRKCD	
	HLF		SMAD4		PRPF8	
	HLXB9		SMARCA4		PSEN1	
	HMGA1		SMARCB1		PTEN	
	HMGA2		SMC1A		PTPN11	
	HNRNPA2B1		SMC3		RAC1	
	HOOK3		SNX25		RAD21	
	HOXA11		SOS1		RANBP2	
	HOXA13		SOX17		RANBP3	
	HOXA9		SPEN		RASA1	
	HOXC11		SPOP		RB1	
	HOXC13		STAG2		RBMX	
	HOXD11		STK11		RHEB	
	HOXD13		STK19		RHOA	
	HRAS		STX2		RNF213	
	HSPCA		TAP1		RNF43	
	HSPCB		TBC1D12		RPGR	
	IDH1		TBL1XR1		RPL22	
	IDH2		TBX3		RPL5	
	IGH@		TCEB1		RPSAP58	
	IGK@		TCF7L2		RUNX1	
	IGL@		TCP11L2		RXRA	
	IKZF1		TDRD10		SETD2	
	IL2		TET2		SF3B1	
	IL21R		TGFBR2		SGK1	
	IL6ST		TIMM17A		SIN3A	
	IL7R		TNF		SMAD2	
	IRF4		TNFRSF14		SMAD4	
	IRTA1		TP53		SMARCA4	
	ITK		TP53BP1		SMC1A	
	JAK1		TPX2		SMC3	
	JAK2		TRAF3		SOS1	
	JAK3		TRIM23		SOX17	
	JAZF1		TSC1		SPATA6	
	JUN		TTLL9		SPEN	
